rowid,lat,lon,abnb_tot_reviews_per_month,h_cat1txt,h_country,local200_n_agrupaciones,local300_n_shops24h,tp_reviews_med,h_name,cad_tot_srf_hotels,fl_n_user,h_locality,rn_med_tramo,tp_reviews_avg,h_subadministrativearea,local200_n_prox_noalim,tp_pricerange_med,fl_txt_madrid,h_phone,local300_n_restaurants,tp_pricerange_avg,local200_n_alojamiento,tp_offers_tot,local200_n_prox_supers,local200_n_prox_fresco,rn_ab_tot_price,local300_n_locutoris,tp_rating_med,tp_pricerange_3,h_language,local200_n_locales,tp_pricerange_2,local200_n_sex,rn_ab_min_price,tp_pricerange_tot,local200_n_epigrafes,rn_ab_avg_price,local200_n_shops24h,h_longitude,rn_ab_offer,rn_ab_med_price,fl_n_date,cad_pk,abnb_tot_owners,fl_n_tourists,local300_n_locales,tp_pk,abnb_tot_beds,local300_n_epigrafes,rn_ab_max_price,local200_n_locutoris,local300_n_agrupaciones,abnb_tot_hosts_listings,local200_n_fiesta,abnb_tot_offer,rn_fc_min_price,abnb_tot_reviews,h_body,h_cat1cod,local300_n_vacios,local200_n_desconocidos,h_cat2txt,tp_reviews_tot,fl_n_posts,abnb_tot_price,local300_n_prox_noalim,local300_n_sex,h_cat3txt,tp_rating_avg,fc_tot_offer,h_title,h_fax,rn_fc_offer,local200_n_restaurants,cad_tot_hotels,cad_tot_hab,local300_n_alquillercoche,tp_rating_min,local200_n_prox_educacion,abnb_pk,h_email,cad_tot_houses,local200_n_prox_alcohol,local300_n_prox_supersbig,h_web,fl_tag_madrid,local200_n_prox_supersbig,local300_n_prox_supers,h_zipcode,local300_n_prox_pastelerias,local300_n_prox_alcohol,tp_pricerange_1,tp_pricerange_0,fc_tot_owners,tp_rating_max,local200_n_prox_pastelerias,cad_tot_srf_houses,local200_n_vacios,rn_fc_max_price,h_latitude,rn_fc_avg_price,local200_n_shops,local200_n_alquillercoche,local300_n_fiesta,h_cat3cod,h_id,tp_rating_tot,cad_tot_parcs,h_address,h_cat2cod,local300_n_prox_fresco,local300_n_alojamiento,local300_n_desconocidos,rn_fc_med_price,fc_avg_price,tp_reviews_max,local300_n_shops,fl_n_locals,local300_n_prox_educacion,rn_fc_tot_price,tp_reviews_min,cad_med_consq
1,-3.632044,40.444307,,,,0,0,,,0,,,9,,,0,,,,9,,0,,0,0,,0,,,,7,,0,,,4,,0,,,,,4860,,,79,,,30,,0,1,,0,,,,,,0,0,,,,,1,0,,,,,,,4,0,332,0,,0,,,192,0,0,,,0,2,,0,0,,,,,0,11394,0,,,,0,0,0,,,,33,,,0,0,0,,,,0,,2,,,4
2,-3.632424,40.484876,,,,0,0,,,0,,,9,,,0,,,,2,,0,,0,0,,0,,,,16,,0,,,6,,0,,,,,4881,,,34,,,14,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,50,0,,0,,,153,0,0,,,0,0,,0,0,,,,,0,15460,0,,,,0,0,0,,,,13,,,0,0,0,,,,0,,1,,,3.29969
3,-3.631679,40.405299,,,,0,0,,,0,1,,9,,,1,,0,,15,,0,,2,2,,0,,,,50,,0,,,25,,0,,,,1,4843,,0,115,,,57,,0,0,,0,,,,,,2,0,,,1,,4,0,,,,,,,7,0,826,0,,1,,,317,0,0,,0,0,4,,1,0,,,,,1,32985,1,,,,0,0,0,,,,3,,,8,0,0,,,,0,1,2,,,4.25699
4,-3.632059,40.445868,,,,0,0,,,0,1,,10,,,1,,1,,12,,0,,2,0,,0,,,,49,,0,,,34,,0,,,,1,4861,,0,81,,,35,,0,0,,0,,,,,,1,0,,,1,,1,0,,,,,,,12,0,114,0,,3,,,64,0,0,,1,0,2,,0,0,,,,,0,9200,1,,,,0,0,0,,,,2,,,0,0,0,,,,0,1,3,,,3
5,-3.632439,40.486436,0.65,,,0,0,,,0,,,9,,,0,,,,0,,0,,0,0,4258.33333333333,0,,,,8,,0,4258.33333333333,,3,4258.33333333333,0,,1,4258.33333333333,,4882,1,,27,,3,7,4258.33333333333,0,0,1,0,1,,20,,,0,0,,,,140,0,0,,,,,,,0,0,11,0,,0,2360,,33,0,0,,,0,0,,0,0,,,,,0,4256,0,,,,0,0,0,,,,1,,,0,0,0,,,,0,,0,,,4
6,-3.631694,40.406859,,,,0,0,4,,0,,,7.5,4,,2,0,,,14,0,0,1,0,1,,0,3,0,,32,0,0,,1,27,,0,,,,,4844,,,117,1984,,61,,0,0,,0,,,,,,1,0,,4,,,3,0,,3,,,,,8,0,711,0,3,1,,,248,0,0,,,0,2,,1,0,0,1,,3,1,27162,0,,,,0,0,0,,,1,2,,,3,0,0,,,4,0,,9,,4,3.83932
7,-3.632073,40.447428,,,,0,0,,,0,,,10,,,1,,,,12,,0,,2,0,,0,,,,48,,0,,,33,,0,,,,,4862,,,60,,,40,,0,0,,0,,,,,,1,0,,,,,1,0,,,,,,,10,0,145,0,,3,,,81,0,0,,,0,2,,0,0,,,,,0,11220,1,,,,0,0,0,,,,1,,,0,0,0,,,,0,,3,,,3
8,-3.632454,40.487996,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,5,,,2,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,,,0,,,,0,,0,0,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,0,,0,,,
9,-3.631708,40.40842,,,,0,0,6,,0,,,9,6,,2,0,,,16,0,0,1,0,2,,0,2.5,0,,57,0,0,,1,44,,0,,,,,4845,,,149,1985,,65,,0,0,,0,,,,,,0,0,,6,,,8,0,,2.5,,,,,8,0,645,0,2.5,8,,,250,0,0,,,0,2,,7,0,0,1,,2.5,1,25548,0,,,,0,0,0,,,1,2,,,10,0,0,,,6,0,,11,,6,4.445245
10,-3.632088,40.448988,,,,0,0,,,,1,,,,,0,,0,,5,,0,,0,0,,0,,,,8,,0,,,7,,0,,,,1,,,0,40,,,30,,0,0,,0,,,,,,1,0,,,1,,1,0,,,,,,,0,,,0,,0,,,,0,0,,0,0,1,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,1,0,,,,0,1,1,,,
11,-3.631344,40.369411,,,,,0,,,,,,2,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,4,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,,,0,,,,1,,0,0,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,0,,0,,,
12,-3.631723,40.40998,,,,0,0,,,0,,,9,,,2,,,,16,,0,,1,3,,0,,,,52,,0,,,36,,0,,,,,4846,,,172,,,76,,0,1,,0,,,,,,0,1,,,,,13,0,,,,,,,4,0,765,0,,5,,,297,0,0,,,0,2,,5,0,,,,,1,32423,0,,,,0,0,0,,,,3,,,15,0,1,,,,0,,11,,,4.44332
13,-3.632102,40.450549,,,,0,0,,,,,,,,,0,,,,2,,0,,0,0,,0,,,,4,,0,,,4,,0,,,,,,,,12,,,11,,0,0,,0,,,,,,1,0,,,,,0,0,,,,,,,0,,,0,,0,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,1,0,,,,0,,0,,,
14,-3.631358,40.370972,,,,0,0,,,0,1,,2,,,0,,1,,2,,0,,1,0,,0,,,,4,,0,,,4,,0,,,,1,4836,,0,11,,,4,,0,0,,0,,,,,,0,0,,,1,,0,0,,,,,,,2,0,522,0,,0,,,319,0,0,,1,0,1,,0,0,,,,,0,28029,0,,,,0,0,0,,,,3,,,0,0,0,,,,0,1,0,,,4
15,-3.631737,40.41154,,,,0,0,,,,,,,,,2,,,,14,,0,,0,1,,0,,,,21,,0,,,15,,0,,,,,,,,120,,,63,,0,1,,0,,,,,,0,0,,,,,10,0,,,,,,,0,,,0,,0,,,,0,0,,,0,2,,2,0,,,,,1,,0,,,,0,0,0,,,,,,,10,0,1,,,,0,,3,,,
16,-3.632117,40.452109,,,,,0,,,0,,,10,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,4863,,,4,,,4,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,0,37,0,,,,,19,,0,,,,0,,0,0,,,,,,3813,,,,,,,0,,,,13,,,0,0,0,,,,0,,0,,,2
17,-3.631373,40.372532,,,,0,0,,,0,1,,2,,,0,,1,,3,,0,,0,0,,0,,,,7,,0,,,0,,0,,,,1,4837,,0,21,,,5,,0,0,,0,,,,,,0,0,,,1,,0,0,,,,,,,0,0,60,0,,0,,,37,0,0,,1,0,1,,0,0,,,,,0,3528,0,,,,0,0,0,,,,1,,,0,0,0,,,,0,1,0,,,4
18,-3.631752,40.413101,,,,0,0,,,,,,,,,0,,,,5,,0,,0,0,,0,,,,3,,0,,,2,,0,,,,,,,,48,,,32,,0,1,,0,,,,,,0,0,,,,,5,0,,,,,,,0,,,0,,0,,,,0,0,,,0,1,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,6,0,0,,,,0,,0,,,
19,-3.632132,40.453669,,,,,0,,,0,,,10,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,4864,,,2,,,2,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,0,53,0,,,,,28,,0,,,,0,,0,0,,,,,,7172,,,,,,,0,,,,18,,,0,0,0,,,,0,,0,,,2
20,-3.631387,40.374092,,,,0,0,,,0,,,5,,,0,,,,1,,0,,0,0,,0,,,,4,,0,,,0,,0,,,,,4838,,,23,,,3,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,465,0,,0,,,306,0,0,,,0,0,,0,0,,,,,0,23242,0,,,,0,0,0,,,,2,,,0,0,0,,,,0,,0,,,4
21,-3.631766,40.414661,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,1,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,,,0,,,,0,,0,0,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,0,,0,,,
22,-3.632146,40.45523,,,,,0,,,0,,,10,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,4865,,,1,,,1,,,0,,,,,,,,0,,,,,,0,0,,,,,,,,0,44,0,,,,,23,,0,,,,0,,0,0,,,,,,6226,,,,,,,0,,,,16,,,0,0,0,,,,0,,0,,,1
23,-3.631402,40.375653,,,,0,0,,,,1,,,,,0,,0,,0,,0,,0,0,,0,,,,8,,0,,,2,,0,,,,1,,,1,16,,,4,,0,0,,0,,,,,,1,0,,,1,,0,0,,,,,,,0,,,0,,0,,,,0,0,,0,0,0,,0,0,,,,,0,,1,,,,0,0,0,,,,,,,0,1,0,,,,0,0,0,,,
24,-3.632908,40.536366,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
25,-3.632161,40.45679,,,,0,0,,,0,,,10,,,0,,,,0,,0,,0,0,,0,,,,1,,0,,,1,,0,,,,,4866,,,7,,,7,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,60,0,,0,,,35,0,0,,,0,0,,0,0,,,,,0,8078,0,,,,0,0,0,,,,16,,,0,0,0,,,,0,,2,,,2
26,-3.631417,40.377213,1.13333333333333,,,1,0,,,,1,,2,,,0,,0,,3,,1,,0,1,4258.33333333333,0,,,,42,,0,1277.5,,20,1419.44444444444,0,,3,1490.41666666667,1,,2,0,76,,4,37,1490.41666666667,0,1,5,0,3,,36,,,1,0,,,1,140,0,0,,,,,,,1,,,0,,0,2346,,,0,0,,0,0,0,,0,0,,,,,0,,1,,,,0,0,0,,,,,,,2,1,0,,,,0,1,0,,,
27,-3.632923,40.537926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,700,,700,,,,,,,,,,,,,700,10,,,,,1400,,
28,-3.631796,40.417782,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-3.632176,40.45835,,,,0,0,,,0,,,10,,,0,,,,0,,0,,0,0,,0,,,,6,,0,,,6,,0,,,,,4867,,,6,,,6,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,118,0,,2,,,68,0,0,,,0,0,,0,0,,,,,0,9791,0,,,,0,0,0,,,,25,,,0,0,0,,,,0,,2,,,2
30,-3.631431,40.378773,1.27,,,1,0,,,,,,2,,,0,,,,5,,1,,0,2,912.5,0,,,,62,,0,912.5,,35,912.5,0,,1,912.5,,,1,,94,,1,53,912.5,0,1,1,0,1,,20,,,2,0,,,,30,0,0,,,,,,,3,,,0,,0,2347,,,0,0,,,0,2,,1,0,,,,,0,,0,,,,0,0,0,,,,,,,8,1,0,,,,0,,0,,,
31,-3.63181,40.419342,,,,0,0,,,,,,,,,0,,,,0,,0,,0,0,,0,,,,1,,0,,,1,,0,,,,,,,,2,,,2,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,,,0,,0,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,,0,,,
32,-3.63219,40.459911,,,,0,0,58,,0,,,10,58,,0,2,,,3,2,0,1,0,0,,0,3.5,0,,3,1,0,,1,3,,0,,,,,4868,,,35,1991,,29,,0,0,,0,,,,,,1,0,,58,,,1,0,,3.5,,,,,0,0,211,0,3.5,0,,,128,0,0,,,0,0,,1,0,0,0,,3.5,0,13682,0,,,,0,0,0,,,1,22,,,4,0,0,,,58,0,,4,,58,2
33,-3.631446,40.380334,,,,1,0,,,,1,,2,,,0,,0,,5,,0,,0,1,,0,,,,43,,0,,,29,,0,,,,1,,,0,127,,,64,,0,1,,0,,,,,,1,0,,,1,,0,0,,,,,,,1,,,0,,0,,,,0,0,,1,0,2,,1,0,,,,,0,,0,,,,0,0,0,,,,,,,8,1,1,,,,0,1,0,,,
34,-3.631825,40.420902,,,,0,0,,,0,,,6,,,0,,,,4,,0,,0,0,,0,,,,1,,0,,,1,,0,,,,,4847,,,70,,,29,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,582,0,,0,,,246,0,0,,,0,0,,0,0,,,,,0,21252,0,,,,0,0,0,,,,10,,,0,0,1,,,,0,,1,,,5
35,-3.632952,40.541047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,650,,650,,,,,,,,,,,,,650,10.8333333333333,,,,,650,,
36,-3.632205,40.461471,,,,0,0,,,0,,,8,,,1,,,,5,,0,,1,4,,0,,,,31,,0,,,28,,0,,,,,4869,,,37,,,31,,0,0,,0,,,,,,1,0,,,,,1,0,,,,,,,3,0,321,0,,2,,,123,0,0,,,0,1,,1,0,,,,,1,12464,1,,,,0,0,0,,,,1,,,4,0,0,,,,0,,2,,,4
37,-3.632585,40.502039,,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,14,,,,,,,,,,,,,,,1732,,,,,,,,,,,5,,,,,,,,,,,,,,3.09293
38,-3.63146,40.381894,,,,0,0,12,,0,,,7,12,,0,0,,,1,0,0,2,0,0,,0,3.5,0,,12,0,0,,1,10,,0,,,,,4839,,,57,1981,,32,,0,0,,0,,550,,,,1,0,,24,,,1,0,,3.5,1,,,1,1,0,812,0,3,0,,,523,0,0,,,0,0,,0,0,0,2,1,4,0,40176,0,550,,550,0,0,0,,,2,4,,,0,0,1,550,11,15,0,,0,550,9,4
39,-3.631839,40.422463,,,,0,0,,,0,,,6,,,0,,,,8,,0,,0,0,,0,,,,84,,0,,,32,,0,,,,,4848,,,102,,,37,,0,0,,0,,,,,,0,1,,,,,1,0,,,,,,,6,0,40,0,,0,,,19,0,0,,,0,0,,0,0,,,,,0,1653,0,,,,0,0,0,,,,2,,,0,0,1,,,,0,,2,,,4.5
40,-3.632967,40.542607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,675,,587.5,,,,,,,,,,,,,587.5,11.2873134328358,,,,,1175,,
41,-3.632219,40.463031,0,,,0,0,,,0,,,6,,,1,,,,25,,0,,1,4,,0,,,,35,,0,,,28,,0,,,,,4870,1,,136,,1,70,,0,1,1,0,1,,0,,,1,0,,,,10,6,0,,,,,,,5,0,574,0,,2,2355,,247,0,0,,,0,2,,4,0,,,,,1,25102,1,,,,0,0,4,,,,2,,,12,0,0,,,,0,,3,,,4
42,-3.6326,40.5036,,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,,,52,,,,,,,,,,,,,,,6257,,,,,,,,,,,23,,,,,,,,,,,,,,2
43,-3.631475,40.383454,,,,0,0,10,,,,,5,10,,1,0,,,4,0,0,1,0,0,,0,4.5,0,,16,0,0,,1,11,,0,,,,,,,,40,1982,,28,,0,0,,0,,,,,,1,0,,10,,,1,0,,4.5,,,,,2,,,0,4.5,0,,,,0,0,,,0,0,,0,0,0,1,,4.5,0,,1,,,,0,0,0,,,1,,,,0,0,0,,,10,0,,1,,10,
44,-3.631854,40.424023,0,,,0,0,,,0,,,7,,,0,,,,8,,0,,0,0,,0,,,,61,,0,,,25,,0,,,,,4849,1,,130,,1,40,,0,0,1,0,1,,0,,,0,1,,,,50,0,0,,,,,,,5,0,182,0,,1,2349,,80,0,0,,,0,0,,0,0,,,,,0,7404,0,,,,0,0,0,,,,1,,,0,0,1,,,,0,,3,,,3
45,-3.632234,40.464592,0.1,,,1,0,,,0,2,,6,,,5,,1,,36,,0,,2,8,3041.66666666667,1,,,,122,,0,3041.66666666667,,62,3041.66666666667,0,,1,3041.66666666667,2,4871,1,0,216,,3,87,3041.66666666667,0,1,1,4,1,,2,,,0,0,,,3,100,9,0,,,,,,,24,0,1154,0,,1,2356,,548,0,0,,2,0,3,,4,1,,,,,3,39114,0,,,,0,0,4,,,,19,,,11,0,0,,,,0,3,3,,,6
46,-3.631489,40.385015,,,,0,0,,,,,,5,,,1,,,,4,,0,,0,0,,0,,,,13,,0,,,11,,0,,,,,,,,41,,,23,,0,0,,0,,,,,,3,0,,,,,1,0,,,,,,,3,,,0,,0,,,,0,0,,,0,0,,0,0,,,,,0,,1,,,,0,0,0,,,,,,,0,0,0,,,,0,,0,,,
47,-3.632615,40.50516,,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,,,140,,,,,,,,,,,,,,,12230,,,,,,,,,,,20,,,,,,,,,,,,,,2.38029
48,-3.631869,40.425583,,,,0,0,5,,0,,,1,5,,0,0,,,7,0,0,1,1,0,,1,3,0,,61,0,0,,1,18,,0,,,,,4850,,,172,1986,,54,,0,0,,0,,700,,,,1,0,,5,,,1,0,,3,1,,,1,2,0,641,0,3,1,,,304,0,0,,,0,1,,0,0,0,1,1,3,0,23974,0,700,,700,0,0,0,,,1,9,,,0,0,0,700,10.7692307692308,5,0,,3,700,5,7
49,-3.632996,40.545728,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,650,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,0,,,,,,,,1,,,,,650,,650,,,,,,,,,,,,,650,10.8333333333333,,,1,,650,,
50,-3.632249,40.466152,2.18,,,0,0,,,0,,,5.5,,,3,,,,42,,0,,1,3,,2,,,,106,,0,,,51,,0,,,,,4872,1,,352,,1,108,,1,3,3,0,1,,4,,,0,0,,,,15,9,0,,,,,,,12,0,1125,0,,2,2357,,627,1,0,,,0,4,,8,1,,,,,1,41237,0,,,,0,0,4,,,,19,,,21,0,0,,,,0,,7,,,6
51,-3.631504,40.386575,,,,0,0,,,,,,5,,,0,,,,1,,0,,0,0,,0,,,,9,,0,,,7,,0,,,,,,,,28,,,17,,0,0,,0,,,,,,2,0,,,,,0,0,,,,,,,0,,,0,,0,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,,0,,,
52,-3.632629,40.50672,,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,,,34,,,,,,,,,,,,,,,2805,,,,,,,,,,,4,,,,,,,,,,,,,,2.60909
53,-3.631883,40.427144,,,,0,0,,,0,,,2,,,1,,,,14,,0,,1,0,,3,,,,79,,0,,,32,,0,,,,,4851,,,206,,,58,,1,0,,0,,,,,,1,0,,,,,2,0,,,,,,,1,0,837,0,,0,,,373,0,0,,,0,3,,0,0,,,,,0,23601,1,,,,0,0,0,,,,12,,,4,0,0,,,,0,,2,,,7
54,-3.632263,40.467712,3.4,,,1,0,,,0,,,7,,,3,,,,33,,0,,3,9,1216.66666666667,2,,,,193,,0,1216.66666666667,,76,1216.66666666667,0,,1,1216.66666666667,,4873,1,,439,,1,117,1216.66666666667,1,3,1,0,1,,46,,,0,0,,,,40,4,0,,,,,,,18,0,1070,0,,4,2358,,433,0,0,,,0,6,,5,1,,,,,2,37004,0,,,,0,0,0,,,,4,,,30,0,1,,,,0,,7,,,5
55,-3.631519,40.388135,,,,0,0,,,,,,5,,,0,,,,1,,0,,0,0,,0,,,,1,,0,,,1,,0,,,,,,,,12,,,10,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,,,0,,0,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,,3,,,
56,-3.631898,40.428704,0.89,,,0,0,,,0,1,,2,,,1,,0,,17,,0,,2,4,2129.16666666667,4,,,,89,,0,2129.16666666667,,34,2129.16666666667,0,,1,2129.16666666667,1,4852,1,0,211,,6,63,2129.16666666667,2,0,6,0,2,,33,,,1,0,,,1,90,3,0,,,,,,,8,0,563,0,,0,2350,,250,0,0,,1,0,5,,0,0,,,,,0,18933,1,,,,0,0,0,,,,24,,,4,0,0,,,,0,1,3,,,7
57,-3.632278,40.469273,,,,0,0,,,0,,,6,,,0,,,,22,,0,,1,0,,0,,,,141,,0,,,46,,0,,,,,4874,,,293,,,83,,0,1,,0,,,,,,0,0,,,,,2,0,,,,,,,9,0,253,0,,4,,,111,0,0,,,0,4,,2,0,,,,,0,10216,0,,,,0,0,0,,,,6,,,8,0,0,,,,0,,6,,,5
58,-3.631533,40.389696,,,,0,0,,,,2,,,,,0,,0,,2,,0,,0,0,,0,,,,3,,0,,,3,,0,,,,2,,,0,24,,,11,,0,0,,0,,,,,,0,0,,,2,,0,0,,,,,,,0,,,0,,2,,,,0,0,,1,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,2,4,,,
59,-3.631912,40.430264,3.19,,,0,0,,,0,,,5,,,1,,,,14,,0,,0,4,,2,,,,68,,0,,,30,,0,,,,,4853,2,,181,,2,68,,1,0,2,0,2,,8,,,1,0,,,,36,6,0,,,,,,,7,0,113,0,,3,2351,,58,0,0,,,0,4,,2,0,,,,,0,4341,0,,,,0,0,0,,,,7,,,7,0,1,,,,0,,4,,,7
60,-3.632293,40.470833,,,,0,0,,,0,,,6,,,0,,,,15,,0,,1,0,,0,,,,86,,0,,,32,,0,,,,,4875,,,236,,,63,,0,0,,0,,700,,,,0,0,,,,,0,0,,,2,,,2,6,0,964,0,,0,,,421,0,0,,,0,4,,0,0,,,2,,0,33617,0,800,,750,0,0,0,,,,23,,,3,0,0,750,10.7142857142857,,0,,3,1500,,5
61,-3.631548,40.391256,,,,0,0,,,,,,,,,0,,,,2,,0,,0,0,,0,,,,14,,0,,,6,,0,,,,,,,,39,,,11,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,1,,,0,,2,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,,3,,,
62,-3.631927,40.431825,,,,1,0,,,0,1,,5,,,4,,0,,19,,0,,0,0,,1,,,,58,,0,,,34,,0,,,,1,4854,,0,201,,,75,,0,1,,0,,,,,,0,0,,,1,,8,0,,,,,,,2,0,4,0,,4,,,2,0,0,,0,0,0,,2,0,,,,,0,164,0,,,,0,0,0,,,,1,,,7,0,0,,,,0,1,5,,,6
63,-3.632307,40.472393,2.2,,,0,0,,,0,,,5,,,0,,,,21,,0,,3,3,3954.16666666667,0,,,,137,,0,3954.16666666667,,34,3954.16666666667,0,,1,3954.16666666667,,4876,1,,331,,8,87,3954.16666666667,0,1,4,0,1,,55,,,0,0,,,,130,6,0,,,,,,,9,0,579,0,,1,2359,,250,0,1,,,0,4,,3,0,,,,,0,19071,0,,,,0,0,0,,,,15,,,21,0,0,,,,0,,2,,,5
64,-3.631562,40.392816,,,,0,0,,,,,,,,,0,,,,4,,0,,0,0,,0,,,,9,,0,,,1,,0,,,,,,,,52,,,11,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,,,0,,0,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,,0,,,
65,-3.631942,40.433385,0,,,1,0,,,,,,5,,,4,,,,18,,0,,1,0,2281.25,0,,,,80,,0,2281.25,,47,2281.25,0,,1,2281.25,,,1,,197,,2,85,2281.25,0,1,1,0,1,,0,,,0,0,,,,75,7,0,,,,,,,7,,,0,,2,2352,,,0,0,,,0,3,,3,0,,,,,0,,0,,,,0,0,0,,,,,,,14,0,0,,,,0,,6,,,
66,-3.63307,40.553529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,650,,650,,,,,,,,,,,,,650,15.1162790697674,,,,,650,,
67,-3.632322,40.473954,,,,0,0,,,,,,9,,,1,,,,29,,0,,3,2,,1,,,,167,,0,,,33,,0,,,,,,,,393,,,95,,0,1,,0,,,,,,0,0,,,,,7,0,,,,,,,13,,,0,,1,,,,0,1,,,0,4,,3,0,,,,,0,,0,,,,0,0,0,,,,,,,22,0,0,,,,0,,4,,,
68,-3.631577,40.394377,,,,,0,,,,1,,,,,,,0,,3,,,,,,,0,,,,,,,,,,,,,,,1,,,0,34,,,11,,,0,,,,,,,,0,,,,1,,0,0,,,,,,,,,,0,,,,,,,0,,1,,0,,0,0,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,0,1,1,,,
69,-3.631956,40.434945,,,,0,0,115,,,,,4,115,,1,2,,,16,2,1,1,3,12,,0,4,0,,74,1,0,,1,44,,0,,,,,,,,155,1987,,77,,0,1,,0,,,,,,0,0,,115,,,4,0,,4,,,,,9,,,0,4,2,,,,0,0,,,0,5,,3,0,0,0,,4,2,,0,,,,0,0,0,,,1,,,,16,2,0,,,115,0,,2,,115,
70,-3.632336,40.475514,,,,0,0,,,,,,9,,,0,,,,32,,1,,0,0,,2,,,,113,,0,,,29,,0,,,,,,,,344,,,92,,0,1,,0,,,,,,0,0,,,,,8,0,,,,,,,11,,,0,,4,,,,0,1,,,0,1,,3,0,,,,,0,,0,,,,0,0,0,,,,,,,19,1,0,,,,0,,4,,,
