rowid,lat,lon,abnb_tot_reviews_per_month,h_cat1txt,h_country,local200_n_agrupaciones,local300_n_shops24h,tp_reviews_med,h_name,cad_tot_srf_hotels,fl_n_user,h_locality,rn_med_tramo,tp_reviews_avg,h_subadministrativearea,local200_n_prox_noalim,tp_pricerange_med,fl_txt_madrid,h_phone,local300_n_restaurants,tp_pricerange_avg,local200_n_alojamiento,tp_offers_tot,local200_n_prox_supers,local200_n_prox_fresco,rn_ab_tot_price,local300_n_locutoris,tp_rating_med,tp_pricerange_3,h_language,local200_n_locales,tp_pricerange_2,local200_n_sex,rn_ab_min_price,tp_pricerange_tot,local200_n_epigrafes,rn_ab_avg_price,local200_n_shops24h,h_longitude,rn_ab_offer,rn_ab_med_price,fl_n_date,cad_pk,abnb_tot_owners,fl_n_tourists,local300_n_locales,tp_pk,abnb_tot_beds,local300_n_epigrafes,rn_ab_max_price,local200_n_locutoris,local300_n_agrupaciones,abnb_tot_hosts_listings,local200_n_fiesta,abnb_tot_offer,rn_fc_min_price,abnb_tot_reviews,h_body,h_cat1cod,local300_n_vacios,local200_n_desconocidos,h_cat2txt,tp_reviews_tot,fl_n_posts,abnb_tot_price,local300_n_prox_noalim,local300_n_sex,h_cat3txt,tp_rating_avg,fc_tot_offer,h_title,h_fax,rn_fc_offer,local200_n_restaurants,cad_tot_hotels,cad_tot_hab,local300_n_alquillercoche,tp_rating_min,local200_n_prox_educacion,abnb_pk,h_email,cad_tot_houses,local200_n_prox_alcohol,local300_n_prox_supersbig,h_web,fl_tag_madrid,local200_n_prox_supersbig,local300_n_prox_supers,h_zipcode,local300_n_prox_pastelerias,local300_n_prox_alcohol,tp_pricerange_1,tp_pricerange_0,fc_tot_owners,tp_rating_max,local200_n_prox_pastelerias,cad_tot_srf_houses,local200_n_vacios,rn_fc_max_price,h_latitude,rn_fc_avg_price,local200_n_shops,local200_n_alquillercoche,local300_n_fiesta,h_cat3cod,h_id,tp_rating_tot,cad_tot_parcs,h_address,h_cat2cod,local300_n_prox_fresco,local300_n_alojamiento,local300_n_desconocidos,rn_fc_med_price,fc_avg_price,tp_reviews_max,local300_n_shops,fl_n_locals,local300_n_prox_educacion,rn_fc_tot_price,tp_reviews_min,cad_med_consq
3339,-3.640895,40.445039,,,,0,0,53.5,,0,,,9,53.5,,0,1,,,14,1,0,2,0,0,,0,4.25,0,,25,1,0,,2,16,,0,,,,,4613,,,144,1930,,75,,0,0,,0,,,,,,0,0,,107,,,2,0,,4.25,,,,,2,0,222,0,4,0,,,146,0,1,,,0,2,,1,0,0,1,,4.5,0,10535,0,,,,0,0,0,,,2,8,,,4,0,1,,,63,0,,6,,44,3
3340,-3.641667,40.526175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2500,,2500,,,,,,,,,,,,,2500,15.527950310559,,,,,2500,,
3341,-3.640525,40.406031,,,,0,0,,,0,,,4,,,2,,,,20,,0,,2,1,,1,,,,41,,0,,,27,,0,,,,,4596,,,186,,,72,,0,1,,0,,,,,,2,0,,,,,10,0,,,,,,,3,0,1074,0,,1,,,514,0,0,,,0,6,,3,0,,,,,0,37767,0,,,,0,0,0,,,,7,,,36,0,0,,,,0,,2,,,6
3342,-3.64091,40.446599,,,,0,0,,,,,,10,,,0,,,,10,,0,,0,0,,0,,,,26,,0,,,17,,0,,,,,,,,61,,,32,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,3,,,0,,5,,,,0,0,,,0,0,,0,0,,,,,0,,0,,,,0,0,0,,,,,,,0,0,0,,,,0,,6,,,
3343,-3.640539,40.407591,,,,0,0,5,,0,,,6,5,,2,0,,,18,0,0,1,4,3,,2,3,0,,59,0,0,,1,30,,0,,,,,4597,,,173,1925,,64,,0,0,,0,,,,,,0,0,,5,,,4,0,,3,,,,,7,0,1279,0,3,0,,,608,0,0,,,0,5,,1,0,0,1,,3,0,47718,0,,,,0,0,0,,,1,6,,,11,0,0,,,5,0,,1,,5,6
3344,-3.640924,40.44816,,,,0,0,,,,1,,10,,,0,,0,,11,,0,,0,0,,0,,,,18,,0,,,12,,0,,,,1,,,1,60,,,31,,0,1,,0,,,,,,0,0,,,1,,0,0,,,,,,,4,,,0,,4,,,,0,0,,1,0,0,,1,0,,,,,0,,0,,,,0,0,0,,,,,,,1,0,0,,,,0,0,7,,,
3345,-3.641697,40.529296,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
3346,-3.640554,40.409151,0.43,,,0,0,,,0,,,5,,,2,,,,19,,0,,5,9,,1,,,,103,,0,,,41,,0,,,,,4598,2,,217,,3,75,,0,0,2,0,2,,21,,,0,0,,,,57,7,0,,,,,,,9,0,1024,1,,1,2276,,465,0,0,,,0,7,,1,0,,,,,0,44563,0,,,,0,0,1,,,,5,,,16,0,0,,,,0,,1,,,6
3347,-3.640939,40.44972,,,,0,0,,,0,,,10,,,0,,,,8,,0,,0,0,,0,,,,6,,0,,,6,,0,,,,,4614,,,44,,,25,,0,1,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,12,0,,2,,,7,0,0,,,0,0,,1,0,,,,,0,1078,0,,,,0,0,0,,,,2,,,1,0,0,,,,0,,4,,,1.5
3348,-3.641325,40.490288,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
