,OBJECTID,NOMDIS,CODBAR,CODDISTRIT,CODBARRIO,NOMBRE,precio,Shape_area,Shape_len
72,73,Usera,121,12,12-1,Orcasitas,7.97,1356362.48982,4664.66726862
73,74,Usera,122,12,12-2,Orcasur,10.49,1387349.53407,6014.65364795
74,75,Usera,123,12,12-3,San Fermin,10.35,1475399.05227,5876.02590938
75,76,Usera,124,12,12-4,Almendrales,13.53,780140.85267,3727.30866397
76,77,Usera,125,12,12-5,Moscardo,11.81,908787.259293,4248.71031808
77,78,Usera,126,12,12-6,Zofio,10.61,774025.410716,3742.72235669
78,79,Usera,127,12,12-7,Pradolongo,7.97,1095652.12577,4785.09878771
79,80,Puente de Vallecas,131,13,13-1,Entrevias,10.99,5971941.49828,11034.9863168
80,81,Puente de Vallecas,132,13,13-2,San Diego,13.29,1069868.39329,4726.31061766
81,82,Puente de Vallecas,133,13,13-3,Palomeras Bajas,10.97,1723868.68635,5649.5340628
82,83,Puente de Vallecas,134,13,13-4,Palomeras Sureste,10.78,3108597.5792,7823.24951276
83,84,Puente de Vallecas,135,13,13-5,Portazgo,11.74,1245260.46297,4834.74439243
84,85,Puente de Vallecas,136,13,13-6,Numancia,11.91,1849069.27171,5364.46082035
85,86,Moratalaz,141,14,14-1,Pavones,11.9,1009652.17404,4120.64864038
86,87,Moratalaz,142,14,14-2,Horcajo,8.85,745945.92992,3896.4924883
87,88,Moratalaz,143,14,14-3,Marroquina,10.78,1790050.82057,6747.79775226
88,89,Moratalaz,144,14,14-4,Media Legua,14.52,998967.804568,4676.06019112
89,90,Moratalaz,145,14,14-5,Fontarron,10.25,964573.753139,6220.55514353
90,91,Moratalaz,146,14,14-6,Vinateros,12.99,593977.30466,3721.67042993
91,92,Ciudad Lineal,151,15,15-1,Ventas,12.62,3198035.23986,8207.61956527
92,93,Ciudad Lineal,152,15,15-2,Pueblo Nuevo,15.21,2319216.89779,7746.68236158
93,94,Ciudad Lineal,153,15,15-3,Quintana,10.97,723117.503779,4438.48957547
94,95,Ciudad Lineal,154,15,15-4,Concepcion,12.3,885910.738657,5775.72838821
95,96,Ciudad Lineal,155,15,15-5,San Pascual,14.15,1052724.62142,4456.05234808
96,97,Ciudad Lineal,156,15,15-6,San Juan Bautista,14.01,1010844.21774,4012.35246509
97,98,Ciudad Lineal,157,15,15-7,Colina,15.66,559699.307486,3175.56739084
98,99,Ciudad Lineal,158,15,15-8,Atalaya,14.87,248882.862918,2240.85020451
99,100,Ciudad Lineal,159,15,15-9,Costillares,13.89,1427246.59546,5635.57463423
100,101,Hortaleza,161,16,16-1,Palomas,13.19,1129769.62477,4994.62973601
101,102,Hortaleza,162,16,16-2,Piovera,11.91,3139649.15421,7833.91201647
102,103,Hortaleza,163,16,16-3,Canillas,13.94,2522509.18085,7568.37764185
103,104,Hortaleza,164,16,16-4,Pinar del Rey,17.38,2664766.5312,8208.58804296
104,105,Hortaleza,165,16,16-5,Apostol Santiago,10.91,1205070.0167,4724.24846058
105,106,Hortaleza,166,16,16-6,Valdefuentes,12.85,16757997.2331,18862.9206381
106,107,Villaverde,171,17,17-1,San Andres,11.38,9253553.64137,13726.6604015
107,108,Villaverde,172,17,17-2,San Cristobal,9.96,1082492.30909,4752.82791635
108,109,Villaverde,173,17,17-3,Butarque,10.46,6375521.53197,12641.9190681
109,110,Villaverde,174,17,17-4,Los Rosales,13.11,1540746.88055,5470.26252457
110,111,Villaverde,175,17,17-5,Los Angeles,10.3,1935271.66796,5703.99897736
